Lake,Form,Year,Day,Count,Temp
Pattagansett,L,2015,178,7,24.4
Pattagansett,L,2015,179,3,24.5
Pattagansett,L,2015,180,3,24.6
Pattagansett,L,2015,181,4,24.8
Pattagansett,L,2015,182,1,24.9
Pattagansett,L,2015,184,2,25.1
Quonnipaug,L,2014,122,1,13.5
Quonnipaug,L,2014,143,1,18.5
Quonnipaug,L,2014,146,2,18.8
Quonnipaug,L,2014,148,3,18.9
Quonnipaug,L,2014,149,1,19
Quonnipaug,L,2014,150,2,19.1
Quonnipaug,L,2014,151,2,19.3
Quonnipaug,L,2014,152,1,19.5
Quonnipaug,L,2014,155,2,20.1
Quonnipaug,L,2014,157,1,20.5
Quonnipaug,L,2014,160,1,21.1
Quonnipaug,L,2014,161,1,21.2
Quonnipaug,L,2014,163,1,21.6
Quonnipaug,L,2014,167,2,22.6
Quonnipaug,L,2014,168,1,22.8
Quonnipaug,L,2014,170,1,23.3
Quonnipaug,L,2014,171,1,23.5
Quonnipaug,L,2014,172,1,23.8
Quonnipaug,L,2014,174,3,24.2
Quonnipaug,L,2014,176,1,24.6
Quonnipaug,L,2014,178,3,24.8
Quonnipaug,L,2014,179,2,24.9
Quonnipaug,L,2014,180,2,25
Quonnipaug,L,2014,181,5,25.2
Quonnipaug,L,2014,182,3,25.3
Quonnipaug,L,2014,183,8,25.4
Quonnipaug,L,2014,184,8,25.5
Quonnipaug,L,2014,185,12,25.6
Quonnipaug,L,2014,186,14,25.7
Quonnipaug,L,2014,187,19,25.9
Quonnipaug,L,2014,188,16,26
Quonnipaug,L,2014,189,17,26.1
Quonnipaug,L,2014,190,8,26
Quonnipaug,L,2014,191,10,26
Quonnipaug,L,2014,192,5,25.9
Quonnipaug,L,2014,193,2,25.8
Quonnipaug,L,2014,194,2,25.8
Quonnipaug,L,2015,135,1,20.1
Quonnipaug,L,2015,137,1,20.9
Quonnipaug,L,2015,138,1,21.2
Quonnipaug,L,2015,142,1,20.8
Quonnipaug,L,2015,150,1,20
Quonnipaug,L,2015,153,1,19.7
Quonnipaug,L,2015,155,2,19.5
Quonnipaug,L,2015,156,1,19.8
Quonnipaug,L,2015,160,1,20.8
Quonnipaug,L,2015,161,2,21.1
Quonnipaug,L,2015,162,1,21.4
Quonnipaug,L,2015,163,1,21.6
Quonnipaug,L,2015,164,1,21.9
Quonnipaug,L,2015,167,1,22.7
Quonnipaug,L,2015,168,1,23
Quonnipaug,L,2015,170,3,23
Quonnipaug,L,2015,171,1,23
Quonnipaug,L,2015,172,1,23
Quonnipaug,L,2015,173,2,23
Quonnipaug,L,2015,174,3,23
Quonnipaug,L,2015,175,6,23
Quonnipaug,L,2015,176,4,23
Quonnipaug,L,2015,177,2,23
Quonnipaug,L,2015,178,4,23
Quonnipaug,L,2015,179,2,23
Quonnipaug,L,2015,180,2,23
Quonnipaug,L,2015,181,4,23
Quonnipaug,L,2015,182,4,23.3
Quonnipaug,L,2015,183,6,23.5
Quonnipaug,L,2015,184,6,23.8
Quonnipaug,L,2015,185,3,24.1
Quonnipaug,L,2015,186,3,24.3
Quonnipaug,L,2015,187,3,24.6
Quonnipaug,L,2015,188,3,24.8
Quonnipaug,L,2015,189,6,25.1
Quonnipaug,L,2015,190,6,25.4
Quonnipaug,L,2015,191,2,25.6
Quonnipaug,L,2015,193,2,26.1
Quonnipaug,L,2015,194,3,26.4
Quonnipaug,L,2015,195,6,26.7
Quonnipaug,L,2015,196,5,26.6
Quonnipaug,L,2015,197,3,26.6
Quonnipaug,L,2015,198,3,26.5
Rogers,L,2013,140,1,19.1
Rogers,L,2013,152,1,21.6
Rogers,L,2013,153,1,21.8
Rogers,L,2013,154,1,22
Rogers,L,2013,157,4,22.6
Rogers,L,2013,158,8,22.6
Rogers,L,2013,159,7,22.5
Rogers,L,2013,160,4,22.5
Rogers,L,2013,161,8,22.5
Rogers,L,2013,162,8,22.5
Rogers,L,2013,163,8,22.4
Rogers,L,2013,164,9,22.4
Rogers,L,2013,165,5,22.4
Rogers,L,2013,166,7,22.4
Rogers,L,2013,167,4,22.3
Rogers,L,2013,169,4,22.3
Rogers,L,2013,170,9,22.3
Rogers,L,2013,172,4,22.9
Rogers,L,2013,173,6,23.2
Rogers,L,2013,174,3,23.5
Rogers,L,2013,175,1,23.8
Rogers,L,2013,176,4,24.1
Rogers,L,2013,177,2,24.4
Rogers,L,2013,178,2,24.7
Rogers,L,2013,180,2,25.3
Rogers,L,2013,181,2,25.6
Rogers,L,2013,183,1,26.2
Rogers,L,2013,186,1,26.9
Rogers,L,2013,187,1,27.1
Rogers,L,2013,189,2,27.5
Rogers,L,2014,131,1,15.4
Rogers,L,2014,132,1,15.7
Rogers,L,2014,136,1,17.3
Rogers,L,2014,139,1,18.5
Rogers,L,2014,142,1,19.4
Rogers,L,2014,144,2,19.7
Rogers,L,2014,146,1,20.1
Rogers,L,2014,147,2,20.2
Rogers,L,2014,149,1,20.5
Rogers,L,2014,154,1,21.3
Rogers,L,2014,156,2,21.8
Rogers,L,2014,157,1,22
Rogers,L,2014,164,1,23.5
Rogers,L,2014,167,1,24.1
Rogers,L,2014,168,1,24.4
Rogers,L,2014,173,1,25.3
Rogers,L,2014,177,1,25.8
Rogers,L,2014,179,1,26.1
Rogers,L,2014,182,12,26.3
Rogers,L,2014,183,3,26.4
Rogers,L,2014,184,5,26.4
Rogers,L,2014,185,4,26.4
Rogers,L,2014,186,7,26.5
Rogers,L,2014,187,1,26.5
Rogers,L,2014,188,7,26.5
Rogers,L,2014,189,5,26.6
Rogers,L,2014,190,7,26.6
Rogers,L,2015,140,1,21.5
Rogers,L,2015,145,1,21.9
Rogers,L,2015,156,1,22.2
Rogers,L,2015,158,1,22.2
Rogers,L,2015,159,1,22.2
Rogers,L,2015,161,1,22.2
Rogers,L,2015,165,3,22.9
Rogers,L,2015,166,1,23
Rogers,L,2015,167,3,23.2
Rogers,L,2015,168,2,23.3
Rogers,L,2015,169,2,23.5
Rogers,L,2015,170,3,23.6
Rogers,L,2015,171,5,23.8
Rogers,L,2015,172,10,23.9
Rogers,L,2015,173,7,24.1
Rogers,L,2015,174,13,24.2
Rogers,L,2015,175,8,24.3
Rogers,L,2015,176,17,24.4
Rogers,L,2015,177,18,24.5
Rogers,L,2015,178,42,24.6
Rogers,L,2015,179,23,24.7
Rogers,L,2015,180,23,24.9
Rogers,L,2015,181,10,25
Rogers,L,2015,182,28,25.1
Rogers,L,2015,183,10,25.2
Rogers,L,2015,184,9,25.3
Rogers,L,2015,185,10,25.4
Rogers,L,2015,186,10,25.5
Rogers,L,2015,187,19,25.6
Rogers,L,2015,188,4,25.7
Rogers,L,2015,189,11,25.8
Rogers,L,2015,190,9,26
Rogers,L,2015,192,31,26.3
Rogers,L,2015,193,13,26.5
Rogers,L,2015,194,11,26.7
Rogers,L,2015,195,10,26.8
Rogers,L,2015,196,10,27
Rogers,L,2015,197,1,27.2
Rogers,L,2015,198,2,27.4
Rogers,L,2015,200,1,27.7
